SOURCE	TARGET	count
Goblet prog	enteroendocrine	42
Goblet prog	FOXL1 FLC	118
Goblet prog	Erythroblasts	6
Goblet prog	BEST4 enterocyte prog	47
Goblet prog	enterocyte	47
Goblet prog	pericyte	97
Goblet prog	Venous EC	101
Goblet prog	ICC	67
Goblet prog	myofibroblast	113
Goblet prog	immune cells	57
Goblet prog	Arterial EC	93
Goblet prog	WNT4 FLC	139
Goblet prog	UPK3B Serosa	64
Goblet prog	Lymphatic EC	61
early enterocyte 2	SMC	56
early enterocyte 2	NTS+ cells	39
early enterocyte 2	Enteric neurons	53
early enterocyte 2	cycling cells 1	46
early enterocyte 2	uniform progenitor	50
early enterocyte 2	mesoderm 2	65
early enterocyte 2	early enterocyte 1	31
early enterocyte 2	mesoderm 1	60
early enterocyte 2	Neural crest cells	30
early enterocyte 2	cycling cells 2	38
early enterocyte 2	LGR5 stem	32
early enterocyte 2	Goblet prog	32
early enterocyte 2	early enterocyte 2	19
early enterocyte 2	enteroendocrine	36
early enterocyte 2	FOXL1 FLC	93
early enterocyte 2	Erythroblasts	4
early enterocyte 2	BEST4 enterocyte prog	45
early enterocyte 2	enterocyte	47
early enterocyte 2	pericyte	63
early enterocyte 2	Venous EC	73
early enterocyte 2	ICC	55
early enterocyte 2	myofibroblast	73
early enterocyte 2	immune cells	50
early enterocyte 2	Arterial EC	65
early enterocyte 2	WNT4 FLC	96
early enterocyte 2	UPK3B Serosa	50
early enterocyte 2	Lymphatic EC	47
enteroendocrine	SMC	78
enteroendocrine	NTS+ cells	55
enteroendocrine	Enteric neurons	73
enteroendocrine	cycling cells 1	66
enteroendocrine	uniform progenitor	68
enteroendocrine	mesoderm 2	82
enteroendocrine	early enterocyte 1	33
enteroendocrine	mesoderm 1	88
enteroendocrine	Neural crest cells	54
enteroendocrine	cycling cells 2	43
enteroendocrine	LGR5 stem	43
enteroendocrine	Goblet prog	42
enteroendocrine	early enterocyte 2	36
enteroendocrine	enteroendocrine	23
enteroendocrine	FOXL1 FLC	102
enteroendocrine	Erythroblasts	5
enteroendocrine	BEST4 enterocyte prog	46
enteroendocrine	enterocyte	46
enteroendocrine	pericyte	92
enteroendocrine	Venous EC	94
enteroendocrine	ICC	57
enteroendocrine	myofibroblast	96
enteroendocrine	immune cells	53
enteroendocrine	Arterial EC	93
enteroendocrine	WNT4 FLC	128
enteroendocrine	UPK3B Serosa	54
enteroendocrine	Lymphatic EC	57
FOXL1 FLC	SMC	110
FOXL1 FLC	NTS+ cells	92
FOXL1 FLC	Enteric neurons	100
FOXL1 FLC	cycling cells 1	141
FOXL1 FLC	uniform progenitor	130
FOXL1 FLC	mesoderm 2	97
FOXL1 FLC	early enterocyte 1	64
FOXL1 FLC	mesoderm 1	100
FOXL1 FLC	Neural crest cells	85
FOXL1 FLC	cycling cells 2	98
FOXL1 FLC	LGR5 stem	134
FOXL1 FLC	Goblet prog	118
FOXL1 FLC	early enterocyte 2	93
FOXL1 FLC	enteroendocrine	102
FOXL1 FLC	FOXL1 FLC	80
FOXL1 FLC	Erythroblasts	18
FOXL1 FLC	BEST4 enterocyte prog	96
FOXL1 FLC	enterocyte	83
FOXL1 FLC	pericyte	142
FOXL1 FLC	Venous EC	168
FOXL1 FLC	ICC	92
FOXL1 FLC	myofibroblast	159
FOXL1 FLC	immune cells	65
FOXL1 FLC	Arterial EC	134
FOXL1 FLC	WNT4 FLC	178
FOXL1 FLC	UPK3B Serosa	77
FOXL1 FLC	Lymphatic EC	102
Erythroblasts	SMC	10
Erythroblasts	NTS+ cells	4
Erythroblasts	Enteric neurons	3
Erythroblasts	cycling cells 1	7
Erythroblasts	uniform progenitor	6
Erythroblasts	mesoderm 2	13
Erythroblasts	early enterocyte 1	2
Erythroblasts	mesoderm 1	10
Erythroblasts	Neural crest cells	5
Erythroblasts	cycling cells 2	5
Erythroblasts	LGR5 stem	8
Erythroblasts	Goblet prog	6
Erythroblasts	early enterocyte 2	4
Erythroblasts	enteroendocrine	5
Erythroblasts	FOXL1 FLC	18
Erythroblasts	Erythroblasts	2
Erythroblasts	BEST4 enterocyte prog	11
Erythroblasts	enterocyte	9
Erythroblasts	pericyte	18
Erythroblasts	Venous EC	22
Erythroblasts	ICC	10
Erythroblasts	myofibroblast	12
Erythroblasts	immune cells	30
Erythroblasts	Arterial EC	28
Erythroblasts	WNT4 FLC	18
Erythroblasts	UPK3B Serosa	12
Erythroblasts	Lymphatic EC	23
BEST4 enterocyte prog	SMC	53
BEST4 enterocyte prog	NTS+ cells	42
BEST4 enterocyte prog	Enteric neurons	45
BEST4 enterocyte prog	cycling cells 1	52
